Year,Div_world_mean,Australia,Austria,Belgium,Canada,China,Czech Rep.,Denmark,Finland,France,Germany,Ireland,Italy,Japan,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,South Africa,Spain,Sweden,Switzerland,UK,US
1986,44.668411351000536,NA,27.72145958314949,36.22934492131622,98.36217373133587,NA,NA,33.08641152026709,NA,29.3762598951414,9.331986160691407,45.420911512665164,NA,46.42179576823213,NA,11.710872695212649,NA,NA,NA,NA,NA,NA,57.594153716688915,27.130148071377235,65.53966322007189,92.76416676685754
1987,46.38596998354633,97.6248713606412,29.39219555302779,27.638066124890447,96.37507871462196,NA,NA,34.90020895034637,NA,34.1730774107003,13.620362470041625,29.289609286654283,NA,41.299055000593945,NA,12.201933119990404,NA,NA,NA,NA,NA,NA,67.11387236597733,22.426308767289683,52.453630971150936,90.8953096737224
1988,35.22486249043279,77.83623846341847,21.396396752941815,15.494431285216947,94.61804736039299,NA,NA,24.334848618633508,NA,22.677122401657524,9.217300492490466,16.45948768501001,NA,30.383269723265393,NA,7.823149898665593,NA,NA,NA,NA,NA,NA,23.85759850520873,28.14325017034437,38.75815922903707,82.14877427977618
1989,35.11066431261713,90.04396777614829,16.940145895918246,17.546011312034082,87.48771119440092,NA,NA,14.324401912840468,NA,10.848228195481758,5.867160721512166,15.758779693893043,NA,32.884755328104774,NA,6.806181330099637,82.72280829412232,26.51313529067596,NA,NA,NA,16.929043735953208,28.20944099596918,30.9095207900262,45.96906000765472,67.12094083965631
1990,46.59724984642527,84.05571697008138,20.649064790310934,25.895431272544357,91.90439616357142,NA,NA,28.392971142390188,NA,15.182249278941452,8.892807111212353,29.428932290238464,NA,86.98047159211566,NA,10.644393945353503,87.68468043449646,22.248569531094663,NA,NA,NA,37.70283001244395,51.86839495193094,44.316828781486365,67.27070595782266,79.03480316319481
1991,33.37314408944125,84.42159654864348,8.599731941866807,12.830475511374884,94.73673961846949,NA,NA,8.415823502476705,58.0068866147219,5.080269502762469,3.020983658647347,8.61713506148365,7.570409785826271,73.96271254605497,NA,3.1034886554260455,92.7740500890769,9.261649683976625,NA,NA,NA,17.17642234474013,23.906937718301858,29.29560884045699,12.735797214168198,80.573018860909
1992,41.18917106946693,81.506605464409,9.504531935153416,14.382579714619403,84.81414184194746,NA,NA,20.07738782169732,66.93708091309946,13.837387261523626,6.006487997288213,27.12368196894177,44.85123213498293,69.89121623443373,NA,5.648983396128027,83.87181413672009,26.62903490621602,NA,NA,NA,50.31677377668641,30.80933961023944,23.592783668727822,38.88644023675791,83.90674730029959
1993,46.43346764793823,87.02170453276379,15.484392149933967,40.35874151970342,95.74850553690858,NA,NA,26.76249597962965,49.4445502703599,18.792945991647148,11.776106801722651,30.17571955650915,63.37697185733469,89.90310012048505,NA,9.873208229338303,91.28557880393276,18.920741389735163,NA,21.19991076035386,NA,55.66680674525368,62.44972338724944,19.292460658742748,40.30289139542431,80.83279727173628
1994,43.02333980624055,86.67552167187333,20.49309387298468,16.69981122313281,87.17224027782066,NA,NA,24.354509338847908,34.754154104282954,13.97964885574372,9.416272607278254,28.8282589573059,64.09731215424375,69.59259443262138,NA,10.775433003892577,91.5313266587637,21.52198248130963,NA,41.79412318538225,NA,38.39476944429878,69.65265786227184,25.967810667521572,37.50670674674878,67.25856857848656
1995,38.16824219261671,94.09087394912584,6.378653504543075,8.184157630592281,93.03959365777266,NA,NA,10.186565813846782,21.168586065139838,27.195655070036405,4.437184847768394,18.612420167500364,75.74275916001952,43.192938776667575,NA,5.194117860695391,90.92994701609346,8.61764066822579,NA,11.535051809974995,NA,42.117935323193535,82.83455408476605,9.961719835634309,24.94494867103758,84.99953993970041
1996,42.48588334093077,91.91430493129356,11.187637739521339,8.734339550915692,79.56804022683868,NA,NA,13.952788086887779,47.67399204693361,22.70110849911624,10.216353811623014,29.33459454923588,76.72913903785057,62.17846733021618,NA,12.9088425264402,95.2329549670328,25.052294720696587,NA,21.939379305251606,NA,40.924578509527045,77.52549827138631,28.692188835485943,29.61257655892893,63.63858731343348
1997,38.2207969814263,99.45052710985537,2.8948581636821014,4.423412371946256,77.64706026787135,NA,NA,3.405493775864865,20.266460679354935,6.16410609942154,2.4282013165924043,49.573285216557686,32.99395944753255,75.65820125830685,NA,3.229113253800786,92.89207731778113,47.676728875663635,NA,12.76286060819266,NA,11.29460323289403,57.989473631620314,26.550367914409268,69.4835918658358,67.63155722134235
1998,31.72824351472373,71.58413093339817,4.350315959483309,2.961142031948749,83.30047326759752,NA,NA,10.90586353155727,2.903703008580971,2.8037171341354306,4.235213661269787,12.122195443463735,3.464733821188848,65.29163804588282,NA,3.2582111047027795,81.089301508645,57.508695146606804,NA,4.167461948140694,NA,7.6745032219578295,50.259212260965626,22.236429285675776,61.049978567787356,83.39795041148612
1999,33.9245483115817,82.06182597909817,8.296561884824282,3.263253029780322,84.14237327337342,NA,NA,6.832288218761895,2.790954586439054,4.85794433213893,5.486451917899715,9.67106669310931,2.482255698582847,100,NA,4.449241697709827,89.7512151841591,43.062039421884045,NA,16.93714962296191,NA,7.105133336626379,39.72963456272316,20.231237762914787,63.901594617424664,83.43874441122223
2000,30.375144107854386,79.3687750185954,3.6714790162069466,1.9765842861949046,93.35729443606938,NA,21.44188875348747,3.3293750154311796,1.3924563247704747,2.7655702219034684,2.5619253377041074,4.745018652180755,1.0344343541993872,100,NA,1.5833440109983665,80.08468997358248,17.54012105423499,NA,4.379118080304889,64.71755482441426,4.071355559882727,26.022804537977795,14.768267501638178,64.14891984483972,75.29219356817961
2001,32.07614081511922,69.70941716640537,0.604728000298671,1.2936095921893376,85.31161424935429,NA,28.45367134216734,4.936465849683769,0.5157980438395771,0.6418758874351171,0.491788444977026,2.0432635904395924,3.4517786431664366,88.48510817591351,NA,0.5012125120090971,71.14986035932426,20.662920203988612,92.44539901302562,0.5352082003042602,97.40408891777925,0.564530079349379,35.37485319542321,16.678907171441416,46.667455716017045,69.82768439320985
2002,34.008133458973774,87.57830798970231,9.608420531460315,1.048896068426819,79.8126618876288,NA,53.30419259538864,6.225875088354405,1.10120884690591,0.7922858110980702,0.9286923390644297,3.3199329862243943,2.0651647582722976,73.88042439878629,NA,0.9287587236199824,87.16206964446374,25.195870153413846,87.95634292878051,1.2173955633509204,100,0.9328969262534348,36.417311761044346,15.443657630888286,28.732133460632838,78.53456946263617
2003,26.057718691482297,53.770798901191064,0.419738248145507,0.3328979210764027,65.2343131627044,NA,22.42945897748987,6.889997351070088,0.7317798292307942,1.327530969249191,0.3660381364324228,0.4104601613320269,0.847856862445795,NA,NA,0.43967357587270106,62.6383340198264,35.73847797403088,72.40501152557705,0.37543310120219386,88.16431482213922,0.35948997084011003,22.330723137125176,16.323541269137532,42.29757721524565,79.43636408124605
2004,19.945340241422617,37.13448293037727,0.41325756972711014,0.3942336679588099,56.60817752704339,NA,21.091491645019676,4.860299149126557,0.29210631126098674,0.5026074000510361,1.2182313274818446,0.4114711188087372,0.32610149848869563,NA,NA,0.9296027566039089,39.310184658002925,24.927006082100945,51.101142240936504,0.3620222783993765,71.02961273689836,0.3331526255490491,11.715440054068804,11.476747325442538,30.756203492431354,73.6039109155197
2005,21.575572487424175,41.30109628734127,0.453173873315893,0.37986194727402944,69.87847274006018,NA,26.250258950010952,5.2483994901800894,0.4751046579959506,0.4459693121625752,0.5788151319739532,2.3374049431756583,0.3461641839712648,NA,NA,0.44847655572117784,46.473421690690486,21.827835242908954,53.27029857930798,0.3197271429626669,54.09798091691249,0.3051843742497229,15.891670358714482,14.432891904347954,29.473505247088248,90.42688119296591
2006,25.10944248702383,52.99636993503485,0.9909819621113813,0.9280887484874767,77.77715996667722,NA,26.978622562529033,5.749204419238351,0.8427597535277997,1.0934359988476472,1.0099225456971839,4.247246634848922,1.259058846195249,NA,NA,0.8993009244612993,75.42563485335529,36.8159101988305,51.953001287144076,1.236519045402007,81.53358198897678,1.1450400043365283,16.256425182911983,15.3063178072262,20.90062448973209,77.062527558952425
2007,33.62425592877876,64.52600180064809,1.006248150380995,1.8078841194217654,78.85086945413542,100,46.195138392981775,12.906638444263308,0.729386285267486,1.2543500281945952,1.2477459823947545,31.00806130553464,2.6969765832018378,NA,NA,0.8620386509925027,76.14459486199408,41.98841977333734,55.43412884001301,0.942413091140426,77.13832055774542,0.6966389297949016,24.612833656814647,30.8277923526341,44.10337414184748,78.37803095917289
2008,27.18872297837014,45.811093266659974,2.1033854420614673,2.147648652620038,47.93360342070419,98.28036740689838,32.212447047720815,19.377896778916814,1.1303297754787889,1.98604984724301,1.8146763305093683,9.328758220259449,2.735418383735977,47.676632910481764,NA,2.0567799948431276,47.73070222145272,26.585841596020753,31.77112972455115,1.5827998033444368,49.9803893538473,1.4486365935343026,20.633131669983907,25.98455100688213,44.37721506419558,87.83986696893794
2009,28.72836608480582,27.05803612933071,3.197173652633245,3.0175713405136473,61.666762097903884,98.57500949680696,33.180941400718034,10.377804491315635,2.9958333857405206,2.9655993230030653,3.714430655126799,9.969574643136747,3.948619168451284,70.1060496557677,NA,3.684433396557263,32.311590421844585,25.9865740445105,37.048596339038234,3.892350393326971,56.29246661778493,3.091756441668192,33.42632555533509,20.08629118112486,58.21794390627865,84.66905229742218
2010,34.46152214577977,40.294935317048576,3.418254274627064,5.230900422467277,73.0060573369571,98.58705310240235,20.452904872413,2.704893930532981,2.9343394511699095,2.8203925078532976,4.304734312339797,32.90029626905281,10.277961807985015,68.05914006869229,81.02865145121127,3.0613704916049755,49.569295455564145,22.11772205371272,26.03547885227756,35.88101480158814,54.36123303187487,15.728908461609892,21.404163445162915,48.16821111737553,55.3809629375395,83.80917787143129
2011,38.451812512596106,42.46431905695241,4.891378630820031,14.402826557766213,66.50412781129674,100,19.48688329322804,8.78421795632084,4.719376827743005,5.982781340293942,6.642593800099739,55.125496972377604,29.049235308687905,81.96579144500319,53.05659848032159,3.481102268520908,50.71396935728526,29.97234875639483,22.537332111843433,47.91732477478126,47.748104239925716,23.77879441642934,30.489633911991486,75.7068150593105,51.71626208378968,84.15799835371892
2012,40.78984716878858,58.43735619758233,4.0803853442790246,13.358810208220262,69.17060280986516,100,23.45852001314799,7.479073444517237,4.809361655016686,4.224943890673716,6.2243864311031905,56.697947541588576,25.7239725578734,93.48677723282066,63.83926669377323,5.29532260676564,51.57852248672964,31.57106822839919,24.254084105066486,83.85794993178013,54.123398994375115,48.92271246550517,42.360778673804504,10.696068791926072,56.907514060622674,79.18735485427855
