Year,Div_world_mean,Australia,Belguim,Bulgaria,Canada,France,Germany,Greece,Hong Kong,Ireland,Italy,Malaysia,Mexico,Netherlands,New Zealand,Portugal,Singapore,South Africa,Spain,Turkey,UK,US
1986,95.70268060712571,99.7439181429209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.58073515115157,NA,NA,NA,NA,NA,NA,91.25394133356531,95.23212780086506
1987,92.39718511449837,96.14206546798553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.63986428637146,NA,NA,NA,NA,NA,NA,87.29710579610341,89.50970490753308
1988,93.80459252384414,96.28829121798118,NA,NA,NA,97.59668144985298,88.95691508800633,NA,NA,NA,NA,NA,NA,88.22573168123677,NA,NA,NA,NA,NA,NA,92.79573577499158,98.96419993099599
1989,95.81736541074133,98.25476580888413,NA,NA,NA,92.38826771917132,99.23890366056926,NA,NA,NA,NA,NA,NA,92.10644434356234,NA,NA,NA,NA,NA,NA,92.91581093226088,100
1990,96.65654348810124,100,NA,NA,NA,94.72182168101524,98.9573912421724,NA,NA,NA,NA,NA,NA,91.62537623344326,NA,NA,NA,99.4617613309876,NA,NA,91.82945392909014,100
1991,80.14903476451053,88.01459479564384,NA,NA,NA,81.78104080426174,93.68926033313876,NA,NA,NA,NA,NA,NA,47.15929763225901,NA,NA,NA,99.74046190171076,NA,NA,53.776461109049976,96.88212677550968
1992,92.65792509129581,93.9811542889271,NA,NA,NA,90.33059875882422,99.34117930905603,NA,NA,NA,NA,NA,NA,84.1407388152045,NA,NA,NA,96.57748232884504,NA,NA,84.2343221382138,100
1993,95.31370839370003,98.59345556152024,NA,NA,NA,99.37443895140485,96.18049863589225,NA,NA,NA,NA,NA,NA,83.70016854695436,NA,NA,NA,100,NA,NA,89.34739706012851,100
1994,96.00364536228594,99.41157158635119,NA,NA,98.7627900727754,95.95509370954079,95.84320938924465,NA,NA,NA,NA,NA,NA,92.29537394788416,NA,NA,NA,94.15173418107152,NA,NA,94.02102211633088,97.5883678950889
1995,93.16291288360826,99.41541133765519,87.1040909026072,NA,100,96.28928385504182,77.56726042240629,NA,NA,NA,NA,NA,NA,85.40921915818686,NA,NA,NA,98.2221613624979,NA,NA,94.65421005309544,99.80457886098361
1996,97.80696020581729,96.96424399404319,95.01554587153754,NA,99.00867903677857,100,100,NA,NA,NA,NA,NA,NA,97.31144224864218,NA,NA,NA,100,NA,NA,92.87594208069034,99.08678862066384
1997,95.76018674003186,88.15616142014741,92.92445045506209,NA,96.68880821210907,99.73427351663456,99.63083474758982,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,100,NA,NA,92.2041586244463,92.50299368429742
1998,95.07949254497916,97.13404100323201,97.74989757066926,NA,75.83378847180488,100,92.10385174356003,NA,NA,NA,NA,NA,NA,97.71915325583885,NA,NA,NA,98.54736496617694,NA,NA,96.86938275325724,99.75795314027322
1999,98.2265064581526,99.76975666275122,100,NA,99.3825922376004,97.02873155882222,100,NA,NA,NA,NA,NA,NA,99.9770875410708,NA,NA,NA,93.46427775904252,NA,NA,96.19158961013932,98.22452275394686
2000,96.8722497255172,95.39124430124652,95.16692096629019,NA,100,98.35164092445375,92.74106670135802,NA,NA,NA,99.28668995085133,NA,NA,93.9007543841668,NA,NA,NA,NA,NA,NA,97.9302576809313,99.08167262035683
2001,91.76354187136886,89.81866281435205,94.5483518130705,NA,89.61478425197748,93.6219698145698,98.31075141790706,NA,NA,NA,80.11198794848843,NA,NA,92.04223594758159,NA,NA,NA,NA,NA,NA,91.21323631300649,96.58989652136628
2002,94.5983283464472,94.58975762088882,93.31470776248392,NA,90.41441772132117,98.46960766358849,95.0763050388621,NA,NA,NA,93.00977817773392,NA,NA,91.43754852758076,NA,NA,NA,100,NA,NA,92.89717789138803,96.77398306062479
2003,91.10817045953326,91.11521231221946,86.71146983211231,NA,83.86542684742949,96.10587297218636,100,NA,NA,NA,89.80606368218066,NA,NA,76.20936622828613,97.6314617256497,NA,NA,NA,NA,NA,92.40374412579699,97.23308686947146
2004,76.53421953561543,66.10611763979391,65.64749604267797,NA,68.54005473489417,91.10181114158242,97.13415348714844,NA,NA,NA,78.78956288177613,NA,NA,59.12172391170145,71.66590807293706,NA,NA,NA,NA,NA,69.6406577978117,97.59470964583106
2005,87.7001057552468,81.8311360401321,79.08099678944836,NA,92.16494623833292,96.80643328242995,98.90071990484816,NA,NA,NA,91.38938411993765,NA,NA,64.06960069649789,87.5721376938897,NA,99.27747915645968,91.979612199668,NA,NA,70.2833385862883,99.04548435502882
2006,80.55621755672685,88.63598938399076,76.28445602631103,91.817262519358,89.68656679600305,73.25330311706493,85.37971020783277,81.48737563681408,100,NA,65.91795466365524,NA,NA,59.949634278159394,90.16417037287609,NA,79.91876449550954,72.37356313388186,NA,NA,60.92080555495822,92.55370716448783
2007,67.86829350713988,85.73836040491071,50.19845507634992,99.12404277748118,61.49787721826624,26.29479504709613,71.10461666044516,92.07433002200146,89.27102689131951,NA,63.63750765097696,NA,NA,47.73378094930987,72.33204208014688,NA,61.26574839118062,NA,NA,NA,48.93736432549858,80.94616160497509
2008,63.237072676218126,74.74206694069349,49.260600616771065,91.65013940167654,44.086178989940805,25.830117192325574,84.43330118732307,71.37866506434764,76.54669128531775,NA,58.62424135407027,NA,NA,37.03632196689909,60.55302929492535,NA,71.33879934399229,NA,NA,NA,47.252829276667676,92.58603555210317
2009,70.48368148969817,84.92205591895714,49.705796916791755,95.39075645228091,54.11680903856062,31.98260180824001,85.09050040631246,91.20473378202816,98.71322358122806,NA,67.99426759058387,NA,NA,39.74714958783237,59.40185621833402,NA,73.9198170109257,NA,NA,NA,58.98566901242397,95.59630353127528
2010,67.02868562578746,68.33133242321564,40.8210723936294,90.28249798846808,44.856767185645886,25.426247628070264,91.1400749643341,87.03163705332483,100,NA,46.766594205520796,97.89778104330796,NA,36.10926796711909,68.57897410838244,NA,59.65423610305286,94.03974018630431,NA,NA,44.23245070811347,77.29029605411023
2011,57.68214037974275,63.2785609328009,25.224844290258485,77.62204246527838,38.58615399304755,16.89391855989143,54.04286077691373,87.18115375350548,87.70915812693353,NA,39.54942135983413,83.28163121883107,83.12826249600687,26.245679046441072,38.9631987683545,NA,51.12467198626132,83.83554068894917,NA,72.95203831204515,41.286550305904576,67.37283975411208
2012,72.40912865396076,78.5644126399733,50.71233553695548,83.64015353507153,75.30488855078808,32.16813317093479,72.96233984687251,91.53551894086567,92.3700549769368,NA,67.69993925597566,96.69276677837522,83.91310121570218,46.340743037349775,64.89655369714534,NA,69.21949072664903,87.49283192429203,NA,85.8668041095635,52.400804865879444,71.58344296196348
2013,76.19029001501075,81.94158729479584,56.10223775807073,89.13455232350931,69.01433281528553,47.04154970284813,75.68692923800448,99.53375070643584,75.84979248643975,95.70327229144327,78.546359539696,93.16181127127105,75.8727281833633,37.686429394749844,87.83568813420925,76.44115922443818,80.22997354801173,66.65909223501858,NA,90.53715467314377,63.47706135267589,83.35033812680442
2014,84.88948190349787,92.64807590198255,69.25228240594511,100,82.9550153095293,48.25165568844153,85.55306175602794,91.7381497253646,100,98.25463002089813,81.0197901865642,91.40937169053633,95.24862197482423,46.722069996188544,81.39742775109681,94.64049381302127,85.80785728177052,NA,98.65363119730516,86.10043214329505,73.04064769426994,95.09642353289604
2015,78.4434941700001,87.36191881924297,69.1405861827566,96.48191699028604,64.71596708211534,38.05364532952764,73.0043679724522,92.98401398053353,93.26711868418845,86.37600102859535,79.1339155764438,78.384400455171,NA,67.79397577779152,NA,100,54.55473935673831,NA,81.75420728722779,92.12707384980123,72.60036365506745,84.24868303206233
2016,68.18868909595966,83.44607106015397,41.63727636348321,94.81653470631866,59.99345135526396,32.49495933266768,58.92680793605971,97.2340546770197,95.10858906634593,51.56820588692595,48.854492661474545,93.46496687623656,48.54946417822003,33.742275254058676,80.93062069738764,100,78.10748508066229,NA,35.31490666230748,80.12923098451874,60.56529275429878,88.88909638578959
2017,82.3246737245186,94.51746609413048,61.328901802879486,98.414510782228,68.22051673379238,61.31792726248989,80.1465904187492,100,91.94613680462112,85.63668260048823,82.49945273025556,NA,NA,72.90181970609567,NA,93.45455107191913,64.41841497075787,NA,75.41835820569149,89.32284345513527,84.1892012578204,95.78607941976202
2018,78.82426249444005,87.90625356886063,60.68056038005052,97.16484205307235,67.14934088071533,48.88531043145419,77.89420830367702,90.47584263045101,88.79995170715324,79.37824115139856,74.2436788454505,NA,NA,56.788287238584225,NA,NA,80.26508694534714,NA,78.4401870413544,99.15495376888582,80.70136519534148,93.26008976924433
