Year,Div_world_mean,Argentina,Australia,Austria,Bahrain,Bangladesh,Belgium,Botswana,Brazil,Bulgaria,Canada,Chile,China,Colombia,Cote d'Ivoire,Croatia,Cyprus,Czech Rep.,Denmark,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Luxembourg,Macedonia,Malaysia,Malta,Mauritius,Mexico,Montenegro,Morocco,Namibia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad,Tunisia,Turkey,UAE,UK,Ukraine,US,Venezuela,Vietnam,Zambia
1986,81.30795952820506,NA,100,73.68504563197227,NA,NA,68.2533503046452,NA,100,NA,92.73944130762581,NA,NA,NA,NA,NA,NA,NA,81.90600732642797,NA,NA,NA,NA,74.33663383509203,78.83948644499749,NA,NA,91.91385075547353,NA,NA,NA,NA,80.29939989319023,NA,92.48684096503003,NA,81.14940279785547,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.7509738033254,NA,NA,NA,NA,NA,NA,46.71692430488235,NA,NA,89.24896497853368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.66061779010922,NA,NA,93.8007941019649,100,84.291016527117307,NA,91.4378587907391,45.836061033307054,90.08717901270619,NA,NA,NA,NA,NA,79.67110250284287,NA,99.28007656908343,NA,NA,NA
1987,57.60827323111514,NA,35.32742389813601,72.72507891827901,NA,NA,53.789627771486046,NA,97.09723457988709,NA,40.853844289518634,79.94817212330594,NA,NA,NA,NA,NA,NA,95.82622011508948,NA,NA,NA,50.20547972306883,41.99036415746077,39.110099188705426,NA,NA,63.01978611556582,NA,NA,100,NA,51.59533341692955,95.9466672083167,58.187840319886064,NA,56.951457243026525,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.95720435388016,NA,NA,NA,NA,NA,NA,22.81098170275222,NA,NA,39.520630055555195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.09546157380996,NA,NA,52.63497061498356,91.91157511778655,66.96922424278696,NA,42.13400081603682,17.89871276313104,93.72675619936635,72.97624860974652,NA,NA,NA,NA,36.8135697688736,NA,50.615958814968366,NA,NA,NA
1988,72.42480715161118,NA,69.21070798905737,61.23087651381449,NA,NA,61.975622068817316,NA,100,NA,60.11417515535182,88.54483609270785,NA,NA,NA,NA,NA,NA,82.96767664879586,NA,NA,NA,69.85312824867964,74.11035808290896,58.78943723164443,NA,89.73535899525419,56.2901521965928,NA,NA,94.26769412065082,NA,76.56833467134442,93.15812385423344,68.59832224478059,NA,68.2288956203212,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.46540275771164,NA,NA,100,NA,65.38407308109784,NA,48.74050527703089,82.26437984748594,NA,77.86307035307985,NA,NA,NA,NA,91.05217048637732,NA,NA,NA,NA,NA,NA,NA,26.538937217356185,NA,NA,88.86375356106588,86.94858028728555,47.667612338569796,NA,60.31571323804845,46.69913633113521,92.47191354733911,77.04214558373734,NA,NA,96.90516041899862,NA,65.48598033498678,NA,73.51601591012971,NA,NA,NA
1989,67.16204724813002,NA,69.89869406944756,64.62304158671465,NA,NA,58.48103419301013,NA,99.75247553524906,NA,53.178192262499934,88.32287487614448,NA,NA,NA,NA,NA,NA,86.13416609911204,NA,NA,NA,61.03343840765682,35.00880653874434,33.92125017562515,NA,80.10027277041986,78.63613502592672,NA,NA,87.14097058711197,NA,39.328354843226485,91.10377979565502,50.82310860334695,NA,56.72999905563254,93.96527601596256,NA,NA,NA,NA,NA,NA,NA,NA,34.316597217319014,NA,NA,87.82432035299523,NA,67.3395383075179,NA,33.407603510451814,65.59493195864727,NA,58.77540812301788,NA,92.27711470431696,NA,NA,87.7442624910227,NA,NA,NA,NA,NA,NA,NA,35.20461712387867,NA,NA,66.85058733467113,89.30586261558314,42.42346282362702,NA,50.65440931122741,29.870309400557193,89.22668818644533,94.41530535347844,NA,NA,96.67935852604998,NA,53.485445940158016,NA,81.41805445835975,NA,NA,NA
1990,72.63736408595867,99.2576940008469,80.3908421361429,59.01335797396965,NA,87.68559345268237,35.74967787613094,NA,95.94563247926932,NA,75.19820367783589,91.68451647045069,NA,NA,NA,NA,NA,NA,89.88013439290856,NA,NA,NA,86.70279377800743,31.068900501430807,36.16028746051988,NA,89.72270330031661,50.12860861286425,NA,NA,99.31160455267293,NA,64.9719787911664,86.79611108416002,53.09589433547707,NA,63.32307220459059,85.43753517440436,NA,98.5591273642581,NA,NA,NA,NA,NA,NA,44.01784170982046,NA,NA,74.39959511720453,NA,91.03218383897502,NA,33.21380250336159,64.96423730045335,NA,66.91305622222362,NA,99.62911530057129,NA,NA,89.58785031011443,NA,84.75765805286171,NA,NA,NA,NA,NA,36.8770513225544,NA,NA,90.0924137805522,87.10296985111205,41.255137925644824,90.89123428040871,48.330999791449905,31.48014755959345,87.8879292487993,65.12659040580124,NA,NA,91.84911384648038,NA,63.8069428704469,NA,80.10651483768791,100,NA,NA
1991,65.48359379573004,98.9255631349455,67.87301606663334,27.56420446974177,NA,95.05723968082314,17.96732060845003,NA,95.44675488212924,NA,76.05589861197058,92.44063858888916,NA,NA,NA,NA,NA,NA,71.84655971164364,NA,NA,NA,54.476221379399604,16.13010638965483,16.709512530000346,NA,59.5431557102831,58.03252726656923,81.65717873022132,NA,97.58953113464207,NA,26.86882387174141,81.13563115902326,28.970460561029697,NA,55.37319097276831,84.45674318946288,NA,95.10904889566203,NA,NA,NA,NA,NA,NA,45.52824782747755,NA,NA,68.88490753207293,NA,96.29752297013093,NA,14.049478948906568,69.99959011936019,NA,47.667354205357256,NA,100,NA,94.16409890152121,86.61358640841367,99.3244605684701,81.6084863173538,NA,NA,NA,NA,NA,30.377975328800567,NA,NA,64.65908439197008,80.24227752204844,23.0662239650545,96.40922655597694,35.0149600485726,16.250195401877356,89.65602479078186,76.23027451374715,NA,NA,83.82030505291253,NA,26.98394199151448,NA,86.16776369557715,100,NA,NA
1992,77.41858876905644,93.51661389174637,66.05086485438267,47.65893924690505,NA,84.64159153192696,44.6185663182856,NA,99.91846355713804,NA,91.20291262715695,100,NA,91.32931724716536,NA,NA,NA,NA,83.50024928663585,NA,NA,NA,78.70905958212828,39.24360540498865,32.23392924771971,NA,77.13828853632477,79.30701094996746,83.98926229409925,NA,97.36236722038797,NA,60.798655853336406,99.10526429302875,75.02661050070124,NA,81.82296543555823,81.97632851162147,NA,99.09621475578393,NA,NA,NA,NA,NA,NA,66.53667603439169,NA,NA,86.23722772783454,NA,94.12428805311171,NA,29.131397553090686,66.16394576824791,NA,70.53985367704855,NA,96.90612026222482,40.10062196604185,94.09133677795583,97.02733242376921,89.83492667389586,98.13992405908196,NA,NA,NA,NA,NA,58.9571286597912,NA,NA,65.19322782936663,83.74682927201835,64.40166643017355,99.10321310774839,58.49977231982968,45.21079987758731,90.65894826011038,98.7582769462855,NA,NA,98.93747157282837,NA,46.143100848446664,NA,92.27627945679045,97.12481421004937,NA,NA
1993,82.27426624080172,96.22282659930352,85.74471184877991,46.35401324211319,NA,88.79337121997212,57.314858299801244,NA,100,NA,94.0825909911011,95.51140932682848,NA,69.80510486912188,NA,NA,NA,NA,93.76726706074342,100,NA,NA,70.25456494161517,48.91364136102343,40.1762772646785,NA,95.1118464854407,81.56266675094808,86.65765644480885,86.88402277102549,99.18547321642112,NA,71.50355620030867,93.06573661537008,79.81288212071101,NA,94.75132864220122,86.86095197694168,NA,100,NA,NA,NA,NA,NA,NA,85.07822454287593,NA,NA,82.92820045571365,NA,90.88235804759579,NA,27.084237471995475,70.46790464344949,NA,63.76198215662491,NA,92.08029162368827,94.81166760714966,93.61292770133616,93.38779621121817,94.29586503625143,100,NA,NA,NA,NA,NA,63.28746998897854,100,NA,92.4358264517038,88.99445106087694,60.03257692283292,93.61956054841518,68.45563147642424,44.56827748964302,93.19168513177455,91.4586734898527,NA,NA,99.43724131303087,NA,51.16163511040662,NA,98.61633554979086,100,NA,NA
1994,79.47859464768787,77.6624255530426,71.27040054711642,56.2282903668742,NA,96.71066842630484,40.22605434418951,NA,96.48643511410472,NA,75.30103721028435,86.81401708373056,95.72381221065017,94.97017334808031,NA,NA,NA,98.61279653964675,85.05312925027042,100,NA,NA,56.05944402914752,43.528991495747114,53.45072334821936,NA,86.83847117937604,50.01314986454495,85.58134292505711,92.90282820119185,100,NA,55.945375962031044,96.11984887955546,87.38577928915554,NA,86.34006142666449,97.90884645223727,NA,100,NA,NA,NA,NA,NA,NA,59.04604811263159,NA,NA,91.70317662458136,NA,98.35733891029585,NA,30.97342574420385,64.31001495324173,NA,49.29873659068791,NA,94.1984045679628,99.3243993453388,89.520203978705,91.36349403468029,97.03552075381168,87.87095608462512,NA,NA,NA,NA,NA,37.97154213581253,89.3481967046242,NA,92.67796420109975,99.45799511730338,57.36990125744441,100,60.807087484705725,52.95259151633198,96.60867453842027,64.62872104834014,NA,NA,94.58677438196578,NA,55.94465396292036,NA,92.49662882926367,97.3789624012365,NA,NA
1995,79.1597539293334,56.9700332286041,85.35402676566902,41.36131009156171,NA,92.54628141978424,31.56641686245012,NA,89.83994054847112,NA,89.31766164655217,68.30712575173091,99.40620729047623,100,NA,NA,NA,84.34310031144929,89.22321126964631,96.18758539553883,100,NA,63.32871316611758,54.164570998639526,38.06281629455588,NA,74.7612182068718,63.20533385281794,88.50286697584563,93.02061870050963,96.83255599575028,NA,58.31887210946742,100,83.85796070129521,NA,82.9842782367151,100,NA,99.90021841039135,100,NA,NA,NA,NA,NA,56.264838301821904,NA,NA,77.27091981303698,NA,78.2483556998337,NA,24.530974333159694,82.88831068502293,92.72566519713145,51.29299758853676,NA,100,85.53852326489587,84.84595332483237,80.06943764774157,99.35229019674362,93.5791884785565,NA,NA,100,NA,NA,53.203271814118565,94.69394141000804,NA,86.97665874215545,100,54.990127092998776,96.08264984358533,63.90239125784558,30.62953620870702,96.77325506956227,65.24026899210357,NA,NA,99.50971201112854,NA,54.708677975963504,NA,87.42510479160303,100,NA,NA
1996,83.81351521691236,71.3042409188283,68.19818909769135,58.422885884698495,NA,100,54.98763883674561,NA,94.01687067039431,NA,77.38395504442312,94.251952314644,98.11530502273702,85.19884177931694,99.37869109434705,NA,NA,94.3605890196023,87.9570300875416,100,100,94.72207591167773,60.61009835527934,50.46261992197996,43.650311699957655,98.44271485609966,92.89905630194497,63.50725596973517,91.03360784664055,98.4753395096677,100,NA,70.57951887268085,90.34787941274935,81.28060146779798,99.6479951074248,88.58479885978713,100,NA,100,97.15705161657628,NA,NA,NA,NA,NA,60.12609091815367,69.21370977489444,84.41120740478857,86.74917606851356,NA,87.97815920246845,NA,44.62525693835049,87.82719121544086,100,52.8519245194632,NA,100,82.91704564790514,94.56059023410413,83.02065708913531,93.59978077382084,96.23489652575063,NA,NA,97.89914136924803,NA,NA,59.55136188146226,98.85010779380411,NA,85.36872250782905,96.93707826914218,72.03388793262803,94.21860353550761,56.18448524902121,54.45176116503172,96.84557533622696,87.66497721931458,95.0308892653832,NA,98.81266875625457,NA,62.674609522187176,NA,78.44830228559228,100,NA,NA
1997,72.69984757881231,40.03859794960283,48.46676620740005,46.12553619666413,NA,94.00485745359198,49.02099664247831,NA,66.15498296846154,NA,43.075906069877234,59.25650483246023,99.53888553089143,96.96830313081261,77.50485942722602,97.22428577973989,NA,92.31610575698639,96.65418143071864,99.6249447426037,98.00466800925862,91.31666745256763,30.855511289985138,41.2858473553011,37.16861888121619,81.92759491183027,94.57227214858385,47.61200275761046,61.65384205033977,100,98.65086400984028,NA,53.651337445879,76.64750107740545,57.09034604323373,97.45811853437503,83.82764585131291,98.68587135785022,NA,97.4904825604847,92.79751415595081,NA,NA,NA,NA,NA,76.47997179598104,71.74372499702231,98.12101863924507,39.64062184665487,NA,89.13533781509435,NA,32.22936118805193,46.016435604820536,100,51.317368212174955,100,83.97567039261212,NA,70.24459277444878,81.05388986269666,58.946660319582456,50.49366203437686,NA,83.15176602046317,51.29950816687029,NA,NA,47.37950914738109,100,NA,38.859496431233275,88.2803256830341,45.173762363967505,92.63715978580753,33.65909589179801,41.247003703637006,85.46614271370586,88.07295122950161,93.25977104820467,NA,91.16725197668734,NA,56.81651334995345,NA,59.19714702014544,79.15164775273195,NA,100
1998,68.8875025673696,33.78125723280687,54.04337415480914,45.85225786877047,NA,100,39.52510481467325,NA,68.89921991694592,NA,43.200754045864045,51.823906263347865,100,92.80706559255799,22.51092421187686,79.39468256460498,NA,54.148953098159126,95.67761332548932,96.68638199883515,100,98.83602026794439,30.11787490172313,21.128900619458022,27.25232282845309,91.92199721461382,70.40989257702525,47.29810246463407,56.803982462598576,92.02285501184065,89.25848931727323,NA,63.23713726842421,72.3657926510459,30.61706293857681,87.22920774002169,66.53771155149697,100,NA,100,93.3041175527879,NA,NA,NA,NA,NA,83.35878594591166,100,80.84331892479491,36.17913080613814,NA,94.89161235361324,NA,23.537415884178536,63.62605376422088,100,44.16743435308782,99.00076231100391,96.84856416215355,NA,67.23378457484152,57.76838739308173,46.51787997540967,40.99589988793066,NA,100,69.24250987769331,96.76321421403456,NA,44.441341965055805,100,NA,50.42261012212238,89.33467748483012,30.09225870402371,96.94624810437357,33.52026721195469,27.496567462248713,72.87541214685514,52.28617768693846,98.4445840880667,85.06222822700276,76.33537995235747,NA,35.882417418942914,81.63691108101197,47.62913821151141,83.99297560752942,NA,98.05826735629401
1999,79.28077426872375,60.95131779675644,75.1531859191245,69.46801282506055,NA,94.55923270275473,50.945184058537954,NA,76.40940489880398,NA,67.75969437242689,71.31520244670723,99.45010943160031,82.51363335558443,73.60617164236032,90.4685200673641,NA,82.93637995093619,90.8219861123547,97.31564730569994,99.0965300533922,87.51739352115689,61.83778993470176,27.637832867961,39.82488786431135,100,88.05242942836324,65.81930300341085,75.02415154710737,87.22363393128586,99.47391891880967,NA,75.65071620786273,81.8289231997793,46.45761877203858,81.99804391530873,85.01442045270964,100,NA,96.8472921859549,98.11792557263009,NA,NA,NA,83.18457818150392,NA,96.93893662558744,96.13928079740013,67.84541303514013,51.70041994997317,NA,87.05010564524169,NA,31.226264111294523,81.2481847253941,100,67.10440557772623,97.11803213434918,100,NA,68.62764410814306,74.25226675058283,69.56972016163459,76.66859719657089,NA,100,89.18674332507305,93.66711789790814,NA,70.67153150458529,94.93259084646192,NA,70.64074077542394,90.139815937726,40.69262253642363,100,53.76758010651601,42.747905825103885,95.55423307698194,74.35834402325044,96.84036433468658,85.71198514408697,98.1684920404647,NA,48.83359456019014,86.02398079348693,75.03787498244449,93.3522975162877,NA,98.83681458888573
2000,75.67117805362997,56.928561213676765,62.700217004772874,52.934810403450996,100,100,64.42645298566293,NA,60.26692561537643,NA,51.04081321826115,75.90744370182712,100,100,29.096151119087633,87.6895774761642,NA,67.55418333394478,89.8313024613648,77.40380105661342,100,83.53509466216072,49.91999949985279,19.778747910168825,25.09006230234494,99.49697102124043,84.32791092178265,48.9717727384197,59.037358423930584,89.25648328696681,91.21184184507143,NA,67.79529439795084,73.22906832265942,30.38756858993983,100,81.48436326747981,99.13020846945749,NA,97.16126303401127,100,100,NA,85.34285038310975,76.51688596906428,NA,89.9843802495611,78.45851301216051,79.08474157817224,50.14023998186787,NA,85.44529672387515,NA,24.118574600296583,82.58047934516568,100,51.57198062942864,100,96.3081092999112,99.64905620389202,80.68317642675056,83.9093277119041,67.01284297961917,53.556884586698516,NA,95.1771377255657,68.53237264002182,96.43118345102471,NA,61.472561494918544,89.84226640847342,NA,57.685197776108744,67.85162103226061,30.404038457496195,98.24167071786587,50.03000764463999,46.38371799930455,93.93342230654235,75.71582918565227,98.70147898708201,90.21249162526146,93.98422514634545,NA,46.01757264738533,92.53220733671628,51.008515082426676,86.89442644566789,100,100
