Year,Argentina,Bahrain,Bosnia and Herzegovina,Botswana,Bulgaria,Cambodia,Chad,Chile,China,C̫te d'Ivoire,Croatia,Cyprus,Ecuador,Egypt,Estonia,Finland,Georgia,Ghana,Greece,Hungary,Iceland,India,Indonesia,Iraq,Israel,Jamaica,Jordan,Kenya,Kuwait,Lebanon,Luxembourg,Macedonia,Malta,Mauritius,Mexico,Montenegro,Morocco,Namibia,New Zealand,Nigeria,Oman,Pakistan,Palestinian Territories,Panama,Peru,Philippines,Portugal,Qatar,Romania,Russia,Saudi Arabia,Serbia,Slovakia,Slovenia,Thailand,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,Venezuela,Vietnam,Zambia
1987,NA,NA,NA,NA,NA,NA,NA,93.6501877061564,NA,NA,NA,NA,NA,NA,NA,43.33586960850362,NA,NA,NA,NA,NA,99.82863583456479,NA,NA,95.48810290596889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.84379245324843,NA,NA,NA,NA,NA,NA,NA,NA,84.21935772436933,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,100,NA,NA,73.48917885069342,NA,NA,81.05672112922544,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.42364795362606,NA,98.95058783253828,NA,88.73669638624285,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,100,NA,NA,NA,NA,NA,NA
1989,NA,NA,NA,NA,NA,NA,NA,99.1980442889434,NA,NA,NA,NA,NA,NA,NA,94.6811310280598,NA,NA,90.66811477644346,NA,NA,100,NA,NA,99.8454437424148,NA,88.841174897167,NA,NA,NA,NA,NA,NA,NA,89.09003273095192,NA,100,NA,82.72000004065534,NA,NA,97.08748050495669,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,98.41800803640609,NA,NA,100,NA,NA,NA,NA,NA,NA
1990,97.2468726533944,NA,NA,NA,NA,NA,NA,94.1367475488785,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,100,NA,NA,93.09014511489113,100,NA,95.67899142018751,NA,93.69871672287186,93.96166163756583,NA,NA,NA,NA,NA,NA,95.61878397407914,NA,90.67828005649376,NA,97.36602080006885,NA,NA,100,NA,NA,NA,93.55787776698882,NA,NA,NA,NA,NA,NA,NA,NA,89.97014655002724,NA,NA,97.4094531187328,NA,NA,NA,NA,NA,NA
1991,91.91230195724143,NA,NA,NA,NA,NA,NA,90.86017463446503,92.82371901348498,NA,NA,NA,NA,NA,NA,90.87326066731,NA,NA,78.25454288757096,98.2084885672106,NA,95.33225639959517,98.79713276031733,NA,88.05955269215931,NA,100,98.14130740420993,NA,NA,NA,NA,NA,NA,88.43506230062272,NA,95.00038827771785,NA,100,NA,NA,100,NA,NA,99.4368964730826,100,NA,NA,NA,NA,NA,NA,NA,NA,95.06867700224751,NA,NA,95.51499173146942,NA,NA,NA,NA,NA,NA
1992,98.1448399336409,NA,NA,NA,NA,NA,NA,100,100,NA,NA,NA,NA,NA,NA,85.99935894929064,NA,NA,99.88647362319135,88.50603778605003,NA,100,94.89624558840408,NA,100,NA,96.6908960218802,100,NA,NA,97.76061211501926,NA,NA,NA,100,NA,100,NA,100,NA,NA,100,NA,92.66160335824168,99.1995161127783,100,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,100,NA,NA,NA,NA,NA,NA
1993,100,NA,NA,NA,NA,NA,NA,100,88.32380485840464,NA,NA,NA,93.58231372560101,NA,NA,100,NA,NA,83.28879799135514,100,82.01160355395564,98.00714365700627,91.81703162388168,NA,100,NA,74.26761517005173,99.22401792721254,NA,NA,100,NA,NA,NA,99.13335531533585,NA,97.14327322459368,NA,100,NA,NA,85.84190691121908,NA,100,100,100,NA,NA,NA,NA,NA,NA,77.36191859491026,NA,95.1112032720478,NA,NA,90.65721576390938,NA,NA,NA,NA,NA,NA
1994,97.44438165998105,NA,NA,NA,NA,NA,NA,94.68145036339901,100,NA,NA,NA,100,NA,NA,96.10770381207581,NA,NA,94.95073493099319,94.80936688177687,100,94.95449868131143,99.6276310634312,NA,96.55231280234243,NA,99.11129859708089,97.31951579901387,NA,NA,95.66858842723252,NA,NA,NA,100,NA,97.8744831641801,NA,98.51079132514519,NA,NA,98.74501516272548,NA,100,99.06323560610988,98.58102480041072,NA,NA,NA,NA,NA,NA,92.50820783950779,98.8242093106915,97.81616558622997,NA,NA,100,NA,NA,NA,99.56250607734694,NA,NA
1995,92.85774800807141,NA,NA,NA,NA,NA,NA,100,95.76443379390619,NA,NA,NA,78.323822757118,96.07721136257217,NA,92.1661083298282,NA,NA,92.30276236360083,99.89384212986789,93.66491813350399,89.43914825182479,100,NA,100,NA,100,100,96.91357953079603,NA,89.38744348838938,NA,NA,NA,92.78182936462885,NA,84.77414250789424,NA,100,100,NA,92.14040743779245,NA,96.16855481808132,96.57686033698305,92.57245893953717,NA,NA,NA,99.11824106948339,NA,NA,90.33144472775298,100,100,NA,NA,80.3745521048841,NA,NA,NA,85.49960749326732,NA,NA
1996,98.28900907683605,NA,NA,100,NA,NA,NA,100,100,100,NA,NA,100,100,96.96762157380276,90.34439853973618,NA,98.74443651251332,100,91.40434838605242,93.15721380206755,99.04316130219955,98.04436499350594,NA,91.68829670200275,100,98.56428324314764,100,92.18823938841295,NA,85.77105244879928,NA,95.38243612811944,100,97.52741380755123,NA,96.21498428360815,NA,97.62192852634071,100,NA,100,NA,88.22434821325609,97.38879607413001,97.89206190879138,NA,NA,NA,95.48113262453911,NA,NA,96.99325296878368,96.60737578366361,100,100,NA,96.34577099884906,NA,NA,NA,100,NA,NA
1997,65.05261002523551,NA,NA,91.8551331285865,NA,NA,NA,67.42997374106665,100,90.79123281265986,87.29733625854887,NA,79.93354970439125,90.0016003174164,89.60998729203205,61.276173334363605,NA,99.66342837414345,95.40790971036174,81.15063632705485,90.0248033279672,100,82.23796803763209,NA,83.47231162794063,100,100,100,86.05529855320351,NA,82.85001138833582,NA,84.60483666940644,100,54.210046360283116,NA,78.5052712678786,NA,63.07098810149917,100,92.4434193891923,73.76711409123068,NA,73.12588222683671,64.22935883342899,92.74684044863287,NA,NA,70.97227832263697,66.36420589646235,NA,NA,96.24682717598847,88.33668341212378,99.3728886829431,100,NA,86.77078086996181,NA,NA,NA,73.11821330723961,NA,100
1998,100,NA,NA,90.4928491487339,NA,NA,NA,96.77404223298612,99.0243937535367,86.6017422309405,94.61266409474608,NA,100,98.59643304572373,85.67798350538858,69.99872361833106,NA,88.0985762939752,88.51225397488355,82.4702713827443,100,100,89.26151410472633,NA,83.87095626218839,92.31513960759054,100,100,100,NA,95.72354208764443,NA,93.9343260267391,83.66985988100193,100,NA,100,NA,97.84600997943697,99.15507592929514,100,92.46911255239456,NA,92.47293283337054,89.97019054133261,100,NA,95.48056904895998,96.74777627959621,69.60460549296442,100,NA,95.72982038420878,95.75656315576082,91.6365305815663,100,97.25171599796798,98.1037689994696,NA,99.77147666829038,NA,100,NA,100
1999,85.21635772063824,NA,NA,90.35165678214763,NA,NA,NA,93.08164809935359,100,100,100,NA,100,99.86503401047544,97.74293068573684,97.0631787044878,NA,100,94.12057910629615,90.85660523572065,99.06431745213936,97.48949100657505,98.41146326823782,NA,99.11444595889097,99.03075417286854,97.75550850625166,100,96.8737187237584,NA,99.82781009935931,NA,100,100,93.52292682478277,NA,99.78574465881034,NA,100,96.93029400508935,97.74463233605644,98.96827719376937,NA,87.13432028684817,85.874966882086,100,NA,90.57731981398712,100,95.4370152071747,100,NA,100,99.44296374373192,98.2856516002964,99.9329786114813,98.01980072935986,100,NA,99.31764884161129,NA,100,NA,99.86428362248706
2000,96.95019036835986,100,NA,99.48856894017449,NA,NA,NA,100,100,100,97.54542791837075,NA,100,100,98.0931183716693,97.7043285861267,NA,100,100,100,98.7834469065274,100,98.25347731829517,NA,94.22910830445657,100,99.21206486742258,100,97.374842629471,100,94.5622786857935,NA,100,98.80791936545587,96.6812092477183,NA,100,100,100,100,95.73111065255625,99.61680006514366,NA,98.13740871307839,100,100,NA,95.73136014078908,100,99.91696531383224,100,NA,96.66797696675779,98.76350568854049,100,96.90268599355595,100,100,NA,97.75812649486606,NA,99.94933650385076,NA,100
2001,100,97.62454261531703,NA,100,100,NA,NA,96.57188460677068,99.77105921419634,100,87.7520603918447,NA,100,100,97.15791907860363,99.87791641269787,NA,98.36962910316389,97.40186489201793,96.07941525314766,99.14616190175735,93.89961467426345,98.18295447774733,NA,97.88342130566727,97.61169307358047,100,100,100,100,92.72337574617411,NA,99.7477488599685,100,97.65527248026405,NA,97.34987983146054,100,93.57045253855868,98.75766148490635,99.05051294489374,98.83472155322222,NA,96.70030954033989,95.32082175058594,98.89889784974623,NA,99.54635087282553,100,98.6325412043442,92.365343155499,NA,100,98.72962348971024,96.55779944412785,100,89.84187421015324,99.87172566624453,NA,100,NA,100,NA,100
2002,100,97.26057262644773,NA,100,100,NA,NA,97.92265486881976,100,100,98.54287547911356,NA,100,100,97.81217460854054,93.54996407349775,NA,100,93.032339472571607,92.24437225736926,90.83053490257443,94.95501432928425,99.50773552924126,NA,99.73040246395448,100,98.43316710848958,100,99.13482723860332,96.56016065780845,91.41254539163258,NA,96.66878959692524,91.23286064248923,100,NA,98.75987244384184,99.16513075579212,92.25957905260454,94.7472938816274,97.71444621762156,100,NA,100,98.69135058483091,99.3530830952656,NA,97.54294346006198,100,91.13493080104183,98.00388718412744,NA,99.95357681258244,100,97.71607134427582,100,100,98.52902202195251,NA,97.33921121909493,NA,100,NA,100
2003,100,95.01045078682827,NA,98.12398394666577,97.68988459270471,NA,NA,100,98.12320560912504,100,100,NA,100,100,99.40155716830824,100,NA,89.22937846268812,94.54485956595718,100,97.87247160297667,100,93.34821590747772,NA,97.41268232363494,100,99.63993107433917,98.51036742810705,100,100,98.64491375495336,NA,99.39112392625994,100,95.37861183910228,100,95.37751362778755,100,97.53109212016084,97.05969085257358,97.46479062288499,100,NA,98.3486906928404,100,97.98886663014393,NA,98.18186539365489,99.31226692930724,100,100,NA,100,100,94.63389269986098,100,100,98.31732379344305,NA,100,NA,97.29943173265855,NA,94.92430272065755
2004,91.36392747620076,100,NA,95.38387035654125,91.03834254334437,NA,NA,85.31227313593344,100,100,100,91.365396742513,95.53343693883217,99.66381154082636,100,73.45895400153873,NA,100,86.64897436875562,96.76334977309772,90.02557269579283,93.2517120503818,88.02370567049864,NA,90.193203854645,100,100,99.44704667363567,99.5720314991962,100,93.6263631083604,NA,100,100,89.59980098233135,100,88.57347615775846,84.01344829779708,100,100,100,100,NA,96.65731822550902,100,100,86.64596932938333,88.67282632547855,100,91.9169062149196,100,NA,96.28840822222365,89.65171894898617,76.79326642398044,100,95.40323070024613,99.81352870154335,100,100,NA,93.32596130248068,NA,100
2005,100,100,NA,100,99.46945795700066,NA,NA,100,97.06655430119564,100,99.82875652508888,100,93.41867818665011,91.53122806752397,100,95.37191571626626,NA,100,97.82386871720132,97.83401134774924,96.79602189660304,96.23950857253311,90.87255587117599,NA,100,100,100,99.57321964380999,99.89527567584523,99.96480251239439,99.63739922414835,95.7699083524702,98.31889703564113,100,100,97.18001031031363,99.48064285672929,100,98.6224430964484,99.32434562126826,99.0388803514993,96.39555961736707,NA,92.3270134791432,100,96.80900168934515,96.47501614461717,100,97.36153743090294,91.41479921221863,100,NA,100,92.33187440803555,100,100,100,99.09670030376999,100,100,100,99.36478516883822,NA,97.6491746894711
2006,96.67291412931269,98.71968580437111,NA,100,100,NA,NA,91.91441262251405,97.47917430762818,100,97.01433107967539,97.51481236539536,100,98.02370193875835,95.27807417264202,84.5176138911024,NA,97.54493947276123,81.46816131712491,85.44817388680265,98.42979290951826,92.06419475139339,78.65864882594711,NA,96.48468590493914,98.66733659088307,99.16569537995984,100,100,100,89.55128704620012,98.59627740064963,98.82485811877876,100,92.34163272661434,100,96.56155532886997,96.01180423817564,90.6947424818891,100,99.44494605012285,95.3943628391996,NA,100,100,93.84729192634819,88.40518615681023,97.66993807972403,89.64336385773314,84.40654548324893,92.90773815289178,NA,100,97.93961637189528,99.34086425022642,100,96.54931463917468,87.42093791950761,96.9303968933416,100,100,100,NA,100
2007,87.62914502248884,97.15998402921059,NA,100,95.92627433211015,NA,97.75552077984246,93.43896388185708,97.98967072881291,99.33432782226312,95.6088843833873,97.00178642917898,100,100,91.82415067665265,93.12867080302682,NA,95.02906231335449,93.64213779691997,91.31204454288388,97.64117832801482,88.36663929038582,97.38707553782643,NA,94.98656881921674,99.98749119347693,97.21836573658125,98.2736453805783,100,100,99.8325925193755,98.63797133613171,99.1183122157563,100,93.7062767462853,97.14453911575438,99.69203615519254,96.19209777456413,94.39828499152927,100,100,100,NA,100,95.38855415419654,96.9719352039471,95.39992906776061,100,94.75631784723048,93.37562054628802,100,99.49077963042724,100,100,100,100,96.40789519966326,96.1978122642416,98.39944793249747,100,96.79796555844062,100,97.6098519491238,95.26245158516808
2008,80.2779227863023,86.60056149928631,NA,90.18470451146129,87.25117041353484,NA,82.78376687885654,83.63754422656521,97.52918549763803,87.70929038923934,79.1807055316245,81.1604149665659,99.36480019112764,92.6066180875145,86.439308314596,72.99068752677736,NA,100,74.73882923027061,64.48759715154951,60.371953931881905,89.9010457220113,91.56437345890394,NA,81.61316330756681,90.07122447513743,93.99433104379197,98.74817930850693,96.3068405832104,98.34061410941574,76.32346308950562,88.76672797890389,91.32325066839735,91.41117756088116,77.27966700821987,92.00414545300121,89.47972626414764,77.12721084501753,81.76052041270641,92.54282956537969,91.14515825714388,100,NA,96.61526336276263,84.48482990135946,89.21540063535622,73.73050025633196,86.99393238270505,75.10635328143603,80.1052077302765,82.20008066125565,88.3682952061291,83.5569855977297,81.28670486421738,82.2031153218647,99.62560692116553,85.65462603764924,81.20459282345632,93.07724434964913,94.63458370079259,83.62392293158452,100,99.06192332709665,93.34575314128831
2009,97.7284235608588,100,NA,100,98.5600562588281,97.28836263209007,100,95.59697087970821,94.49120099829831,100,100,98.77009683733775,100,100,97.2921136389245,99.45143085287731,99.44776851229734,100,99.58861632332547,98.66825411569904,100,84.33817419705731,99.08001371707067,NA,99.3082701529544,100,100,97.97354022873242,96.93073610784604,100,99.85316151980633,100,99.72616939926921,99.46045257126607,97.23889653787062,98.90127716505226,100,100,96.59605466585506,100,92.2333520298985,96.39303374647791,NA,99.96093195381297,98.50577946201199,97.79514579139135,99.12979803105398,95.86068597442589,92.5689874791727,98.57976786147022,91.24044977924434,100,95.64274297257792,100,96.5835305142296,100,98.37759607553527,98.73039652884577,100,97.22137156422693,100,100,99.80237253036954,100
2010,93.90661370136516,98.66869948220801,NA,96.86015672639823,91.79974753876617,98.47473314378493,96.72048172145149,92.53124395768036,100,97.13978951163097,84.57036014029755,90.5487563701261,100,84.03920533643702,90.01848160169928,76.76666572318653,89.27873764375418,100,89.90368916454389,76.10492851034067,86.43795332330865,81.63501905227756,92.71202985005141,NA,91.05127849692892,100,100,96.65734757022139,100,98.38914380854094,90.52768531839774,89.29420685660834,91.66780964349441,93.67035355065562,85.44113181478949,93.70509832530512,96.25473465227088,90.94419516111427,88.58456425071466,100,89.91151872966971,100,NA,100,90.52607323115946,92.58668408755881,83.63352823939746,86.43739971450181,80.80913193259717,79.55909037346596,88.66558327634215,91.32581980722054,90.25501239951409,89.34342531941832,93.32492505198785,99.1219145445822,93.43597966981288,79.83580750202691,100,83.0437258347838,97.01439166741658,73.33673956184236,98.52345583243685,99.21933820861655
2011,79.83374653954294,100,100,91.7907353349955,99.26772402192404,NaN,98.4894063106046,81.62700825184577,98.67154645338385,100,88.09568293512478,94.00431441939955,100,96.23148804881623,81.71373190691777,81.77160754186262,95.30298927169702,99.57848962512051,90.45995140746756,90.69102714456699,95.31076230701882,89.22480043736284,89.83625093162301,NA,86.50091161361874,100,100,93.67838001440047,100,100,84.05793531423619,94.40861808758457,97.199027068008,100,83.34516320134098,95.01890543296358,96.73607625483007,90.05635738101168,85.91190025050543,99.66920420447279,100,100,NA,100,96.46011951201791,95.03596071684987,87.42121764252954,100,82.14202875838025,79.23531156974495,99.11864359243937,94.01863595087995,96.63203938922645,NA,93.77404487274738,100,98.67261749864473,88.11454987449937,92.1658890446301,83.68674741162634,100,96.3481663302175,100,96.49035090374709
2012,100,65.71641944136834,86.74202930483756,91.21631685427884,95.81353627973603,NaN,96.9046377967758,75.01894334309667,95.36555653090734,95.92393099352414,74.86336550105733,98.59190093236592,100,100,83.50961316302376,78.01316009095271,99.19809337773738,95.60556318072611,90.30837175963077,70.26568629375014,88.9673755744045,73.99262731484436,84.56362147782094,100,82.82262908712094,100,100,91.60549798905352,100,100,87.41772120656086,85.83366125589632,95.5424725036045,100,83.88585972328157,100,99.86951773242397,88.23889150247568,88.03447280416957,99.6172821664409,100,97.26423800436062,NA,100,89.20935892224301,92.24446047666056,85.8748630007283,88.78591502966839,86.98726195403601,72.03644773513092,100,86.18795416514317,92.3906794498748,NA,89.71679805552245,100,89.59120314691329,85.56293000413733,99.77620445991252,79.16339304536099,97.85225469735644,86.1280271509618,100,98.23936402897192
2013,100,86.80100002099283,82.38630073966434,100,69.29851590502271,NaN,100,85.08789090157579,94.83528878792661,96.37316054453994,100,84.2653241415184,NA,88.64185669663726,100,90.11490048231425,93.42293216082228,100,79.1831537206381,100,100,100,91.05158432834311,98.29163226124955,100,100,100,100,NA,97.91910486297839,77.46594700601356,83.3352259615005,100,100,91.2873683828011,95.82967244289958,100,92.91666518080184,86.32160223363637,99.04764370456796,100,98.52719501956115,91.62337892448579,97.3866554638283,63.1354977674806,84.68987931717389,92.47280444395653,88.91557700282972,100,93.91891455986325,100,99.67100382120417,95.43757428760014,NA,93.04888809616881,100,95.29771948650003,96.18856532104986,86.88193997925478,100,100,98.6318500526381,100,87.1455489653251
2014,97.57525757150619,96.98539762091161,100,98.62318352309053,96.08171264422491,NaN,98.09402424994188,97.9373261568457,100,100,98.45626855549942,94.26870770324369,NA,99.77931743422715,94.30459929483133,98.72446878521953,91.41803905491655,100,99.62674316430058,90.20376663969789,99.16655939644605,100,98.20250162896389,90.76632738615878,97.4546851601978,100,97.67670266190115,97.8650647527739,NA,97.07905968935613,100,97.21214734732668,99.17776116271767,98.45737813927305,99.28063221965772,99.5582982280758,100,95.9492294109633,100,93.52695110621192,98.1867475465405,97.86513830451622,100,98.24175298239935,98.18041902509049,100,100,100,98.92127666852534,97.55167310814709,100,95.42466245648393,100,NA,93.20987603357524,100,98.81555596831684,93.50904293236755,100,94.1475273434435,99.17478249861928,100,97.97817166180516,100
2015,86.10959327748635,97.24566331559254,95.02966877410702,83.39138920068892,84.82507411267865,NaN,81.97363513042335,90.46221414311721,99.21180874069246,98.24593385752003,99.66697281497227,100,NA,100,91.53678434907357,80.99954986810853,100,93.4122644422028,91.60564751799085,97.39166157794604,95.10691125351237,100,94.21509745600932,100,95.07627724271795,100,88.62717307522271,87.36785088998961,NA,100,97.73285579225947,100,100,100,96.23333763956494,99.19000735323617,95.91329500856133,90.14031765403378,100,92.50213382160295,98.3623361458792,100,84.3503628114136,100,84.08938095386313,83.67814316448698,86.00848293094137,91.80878429965958,88.70111315170519,79.68782692228186,91.71540206330928,87.97066774736695,93.72310406960372,NA,88.01085459194546,75.66637557337836,95.3550335023829,88.1119973289989,100,100,82.4612132864281,100,100,100
2016,96.11437798000715,NA,100,89.6737375138233,93.8955016722625,100,94.33812991515218,100,92.06499062858272,98.33315277238057,90.44034670254926,89.91303194384318,NA,100,92.77743368626923,94.40086901746139,80.14404893589825,99.63622570053475,83.62038950632632,95.75020856924002,91.63764115634785,98.63049893260397,99.6294875810727,NA,88.14856046187441,100,90.60875448117565,99.40512524422338,NA,95.559201664994,93.79533869308631,95.29312901375081,93.22698667390895,97.02920554944902,94.20460088917379,NA,100,96.84238196959247,94.03849741714225,92.86938781239209,97.14902071365437,94.05923397780275,97.80208277964897,99.69019750906659,99.16788132056254,100,90.60601155509734,98.20287681886839,95.05014896730277,97.84509732864652,100,91.14201590922823,95.8596953591893,NA,100,100,94.13409814298552,99.52481161643446,100,97.10273531822605,94.95215307504792,100,100,100
2017,98.30045117872858,NA,99.78998971380562,95.55063790670636,98.71370255156238,95.57404839179908,98.03909988238485,93.10466119084643,97.09172188359909,98.90860865876991,99.78805688959919,91.15729900237656,NA,99.74887759601852,99.39775808835776,94.39478961352677,100,99.56769458220884,96.64209345090875,95.86905995059509,100,95.62449687750578,100,NA,94.28162384162658,100,95.51649581498029,98.79629724352826,NA,97.448540513824,100,88.418391523447,94.26418932128188,100,93.77347460858296,NA,96.07316056036397,93.30227681652228,92.24696140730985,99.17330233550969,100,100,100,100,95.37670917671139,96.72250616384378,87.35826179282873,95.72165264934276,99.44050535660006,96.49365244091462,98.78684958291318,95.60309658240979,99.0972312283046,NA,100,97.44089908614971,100,97.29605814105089,100,97.6176231279398,100,100,94.20447850279436,100
2018,100,NA,100,88.9054371860409,94.58237501043945,100,91.76020956780388,100,94.77038777123137,100,93.50452052086568,93.50608311161524,NA,100,92.57434497814194,97.351789707856355,98.65665750156664,100,100,98.13522541415497,99.52187040268133,95.15076377887533,100,NA,97.92837253444816,97.17287800977844,100,95.71323532212003,NA,100,93.51716640050732,99.57698405511613,99.85179636718306,97.92098665668532,100,NA,96.62305545817644,90.19987536644832,91.3350030383293,98.32769648802642,100,100,97.0495261303573,99.49226668503299,93.18103943140565,99.82131170033912,100,100,94.69329432596989,99.86538374589892,98.07986649642255,100,100,NA,98.9966222273008,99.80872734734531,95.99220501661593,99.3698024866565,100,96.2969203835403,95.67758971127951,100,100,100
